FID,ID1,Name,NAICSCode,NACSDescri,NAICSTitle,EmplRange,Phone,Fax,TollFree,EMail,WebAddress,StreetNo,StreetName,Street_Add,Bldg_No,Unit_No,PostalCode,Modified_D,PIN,Character,Ward
1,7243,Jang Kang Korean Chinese Restaurant,722511,Accommodation,Full-service restaurants,5 to 9, , , , , ,257,Dundas St E,257 Dundas St E,Bldg 1,8&9,L5A 1W8,2018/12/30 00:00:00+00,2934400,Cooksville NHD (East),7
2,3035,Sheridan Nurseries,444220,Retail,Nursery Stores and Garden Centres,20 to 49,905-624-3722,905-624-5105, , , ,2069,Burnhamthorpe Rd E,2069 Burnhamthorpe Rd E, , ,L4X 2S7,2017/11/08 00:00:00+00,2381300,Rathwood NHD,3
3,7240,Shinhan Bank Canada,522111,Finance,Personal and Commercial Banking Industry,5 to 9,905-272-7448,905-272-7441, , ,www.shinhan.com,257,Dundas St E,257 Dundas St E,Bldg 2,3&4,L5A 1W8,2017/11/08 00:00:00+00,2934400,Cooksville NHD (East),7
4,3008,Shell Canada,447190,Retail,Other Gasoline Stations,1 to 4,905-238-0070, , , ,www.shell.ca,1349,Burnhamthorpe Rd E,1349 Burnhamthorpe Rd E, , ,L4Y 3V8,2017/11/08 00:00:00+00,2382400,Rathwood-Applewood CN,3
5,7244,Cooksville Hair and Beauty Salon,812115,Other Services,Beauty Salons,1 to 4,905-848-0118, , , , ,257,Dundas St E,257 Dundas St E,Bldg 2,6,L5A 1W8,2017/11/08 00:00:00+00,2934400,Cooksville NHD (East),7
6,3007,Jiffy Lube Canada,811199,Other Services,All Other Automotive Repair and Maintenance,1 to 4,905-624-9724, , , , ,1349,Burnhamthorpe Rd E,1349 Burnhamthorpe Rd E, , ,L4Y 3V8,2017/11/08 00:00:00+00,2382400,Rathwood-Applewood CN,3
7,7246,Optique Eyeful Optical,446130,Retail,Optical Goods Stores,1 to 4,905-232-9288, , ,eyeful21@hotmail.com, ,257,Dundas St E,257 Dundas St E,Bldg 1,11,L5A 1W8,2018/09/30 00:00:00+00,2934400,Cooksville NHD (East),7
8,10407,ARCADIS,541620,Professional,Environmental Consulting Services,50 to 99,905-614-1978,905-614-1981, , ,www.arcadis.com,4005,Hickory Dr,4005 Hickory Dr, , ,L4W 1L1,2017/11/08 00:00:00+00,2382600,Rathwood-Applewood CN,3
9,47123,Al Aqsa Wa Rafidain Supermarket & Halal Meat,445110,Retail,Supermarkets and Other Grocery (except Convenience) Stores,1 to 4,905-896-3698, , , , ,257,Dundas St E,257 Dundas St E,Bldg 2,5,L5A 1W8,2018/09/30 00:00:00+00,2934400,Cooksville NHD (East),7
10,3004,Humberview Insurance Brokers Inc.,524210,Finance,Insurance Agencies and Brokerages,1 to 4,905-206-0707,905-206-0567, ,humberview@rogers.com,www.humberviewinsurance.ca,1295,Burnhamthorpe Rd E,1295 Burnhamthorpe Rd E, , ,L4Y 3V7,2018/09/30 00:00:00+00,2382700,Rathwood NHD,3
