X,Y,FID,ID,Name,EmplRange,NAICSCode,NAICSSecto,NAICSDescr,Phone,Fax,TollFree,EMail,WebAddress,StreetNo,StreetName,PostalCode,BuildingNo,UnitNo,Modified,ChArea,Ward,BIA
-79.6652968957223,43.6848336587405,1,7,Peel Car & Truck Rentals,1 to 4,441120,Retail,Used Car Dealers,905-670-2442,905-670-6458,1-855-670-2442,peelcarrentals@gmail.com,www.peelcarrentals.com,7050,Bramalea Rd,L5S 1T1,Bldg A,7,2019/12/12 00:00:00+00,Northeast EA (West),5, 
-79.6672941782303,43.6827468852758,2,10,Unifor 2002,10 to 19,813930,Other Services,Labour Organizations,905-678-1551,905-678-0100,1-888-226-8885,info@unifor2002.org,www.unifor2002.org,7015,Tranmere Dr,L5S 1T7, ,5,2019/12/12 00:00:00+00,Northeast EA (West),5, 
-79.663614872036,43.6893277486246,3,18,Fire Station 119,20 to 49,913140,Public Administration,Municipal Fire-Fighting Services,905-615-3777, , , ,www.mississauga.ca/portal/residents/fire,3201,Elmbank Rd,L4V 1A6, , ,2022/08/29 00:00:00+00,Airport SPA,5, 
-79.6291717393547,43.6954807138347,4,20,Triumph Express Service Canada Inc.,20 to 49,488519,Transportation,Other Freight Transportation Arrangement,905-673-9300,905-673-8599,1-800-793-5255,hr@triumph.ca,www.triumph.ca,3030,Orlando Dr,L4V 1S8, , ,2022/07/06 00:00:00+00,Northeast EA (East),5, 
-79.6288353587343,43.7055373519682,5,21,Malton Best Inc,20 to 49,332710,Manufacturing,Machine Shops,905-612-0743,905-612-1931, ,abdul@abfmfg.com,www.abfmfg.com,6750,Professional Crt,L4V 1X6, , ,2022/07/06 00:00:00+00,Northeast EA (East),5, 
-79.6312154615733,43.7074367160258,6,26,Malton Islamic Centre,N/A,813110,Other Services,Religious Organizations,905-671-2911,905-671-2911, ,shaniff@hotmail.com,www.maltonsislamiccenter.ca,6836,Professional Crt,L4V 1X6, , ,2018/12/30 00:00:00+00,Northeast EA (East),5, 
-79.6735338847228,43.6797197300199,7,27,VRC Meats INC,5 to 9,311615,Manufacturing,Poultry Processing,416-623-7878, , , , ,7875,Tranmere Dr,L5S 1T8, ,13,2022/06/09 00:00:00+00,Northeast EA (West),5, 
-79.657936658893,43.6918533602767,8,34,JC Furnitire Hardware Corp.,10 to 19,414390,Wholesale,Other Home Furnishings Wholesaler-Distributors,905-405-8700,905-405-8705, , ,www.surfaceeurofit.com,7055,Fir Tree dr,L5S 1J7, , ,2022/06/20 00:00:00+00,Northeast EA (West),5, 
-79.6584169325377,43.7008824729522,9,37,Super Save Vanity and Cabinets,1 to 4,452999,Retail,All Other Miscellaneous General Merchandise Stores,905-672-9671,905-362-0457, ,supersavevanity@hotmail.com, ,2559,Drew Rd,L4T 1G1, , ,2018/12/30 00:00:00+00,Northeast EA (West),5, 
-79.6652968957223,43.6848336587405,10,41,Greater Toronto Mortgages and Financial Corp.,1 to 4,522291,Finance,Consumer Lending,905-405-1666,905-405-1606, ,samsharma@gtmortgages.com,www.gtmortgages.com,7050,Bramalea Rd,L5S 1T1,Bldg A,11,2019/12/12 00:00:00+00,Northeast EA (West),5, 
-79.6636139469703,43.6970485755133,11,44,Chase Freight International Ltd.,1 to 4,488519,Transportation,Other Freight Transportation Arrangement,905-677-6088,905-677-7683, ,chasefrt@on.aibn.com,www.chasefreightintl.ca,7720,Kimbel St,L5S 1A6, ,6 to 9,2017/11/09 00:00:00+00,Northeast EA (West),5, 
-79.6815917909426,43.6852059627264,12,46,Noramco Wire & Cable Co. Ltd.,50 to 99,417230,Wholesale,"Industrial Machinery, Equipment and Supplies Wholesaler-Distributors",905-673-3570,905-676-7622,1-800-387-7622,nortor@noramco.ca,www.noramco.ca,7635,Tranmere Dr,L5S 1L4, , ,2022/06/08 00:00:00+00,Northeast EA (West),5, 
-79.6620665790997,43.7099353393166,13,47,Rena Cuisine Inc.,1 to 4,722512,Accommodation,Limited-service eating places,416-479-0852, , ,info@renacucina.com, ,2708,Rena Rd,L4T 3J9, , ,2022/08/29 00:00:00+00,Northeast EA (West),5, 
-79.6337797380462,43.6620341472418,14,48,Britannia Fleet Services,20 to 49,811111,Other Services,General Automotive Repair,905-670-4545,905-670-1121, , ,www.britanniafleet.ca,5845,Luke Rd,L4W 2K5, ,5,2022/06/10 00:00:00+00,Northeast EA (West),5, 
